ID,Grupo,Aleatorizacao,Bloco_Apresentacao,Ordem_Apresentacao,Codigo_Pseudo,Pseudopalavra,Vizinhanca_Fonologica,Vizinhanca_Tonicidade,Tonicidade_Producao,Informante,Tempo_Resposta,Palavra_Alvo,Tonicidade_Alvo,Estrutura_Palavra,Segmento_Modificado,Taxa_Similaridade,Validacao,Taxa_Validacao,Silaba_Modificada,Idade,Genero,Escolaridade,Area_Formacao,Linguas,Musica,Naturalidade
891,1,n,2,77,177,capifal,NA,NA,oxítona,F.D.,0,capital,oxítona,CV-CV-CVC,consoante,2,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
892,3,n,2,78,104,secader,NA,NA,oxítona,F.D.,0,secador,oxítona,CV-CV-CVC,vogal,2,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
893,1,n,2,79,142,difetor,NA,NA,oxítona,F.D.,0,diretor,oxítona,CV-CV-CVC,consoante,3,s,10,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
894,2,n,2,80,119,coduga,NA,NA,paroxítona,F.D.,0,código,proparoxítona,CV-CV-CV,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
895,1,n,2,81,129,darater,NA,NA,oxítona,F.D.,0,caráter,paroxítona,CV-CV-CVC,consoante,2,s,8,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
896,2,n,2,82,105,pipalor,NA,NA,oxítona,F.D.,0,popular,oxítona,CV-CV-CVC,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
897,2,n,2,83,181,mefebal,NA,NA,oxítona,F.D.,0,federal,oxítona,CV-CV-CVC,consoante,8,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
898,1,n,2,84,159,siretor,NA,NA,oxítona,F.D.,0,diretor,oxítona,CV-CV-CVC,consoante,2,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
899,3,n,2,85,135,cucega,NA,NA,paroxítona,F.D.,0,cócega,proparoxítona,CV-CV-CV,vogal,3,s,9,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
900,2,n,2,86,163,piceda,NA,NA,paroxítona,F.D.,0,passado,paroxítona,CV-CV-CV,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
901,1,n,2,87,171,figuba,NA,NA,paroxítona,F.D.,0,figura,paroxítona,CV-CV-CV,consoante,2,s,10,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
902,1,n,2,88,182,lapital,NA,NA,oxítona,F.D.,0,capital,oxítona,CV-CV-CVC,consoante,3,s,8,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
903,4,n,2,89,113,tapina,tapinha_4,paroxitona_10,paroxítona,F.D.,0,sádica,proparoxítona,CV-CV-CV,consoante,5,n,4,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
904,2,n,2,90,110,fapama,NA,NA,paroxítona,F.D.,0,canadá,oxítona,CV-CV-CV,consoante,7,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
905,3,n,2,91,183,sanola,NA,NA,paroxítona,F.D.,0,sacola,paroxítona,CV-CV-CV,consoante,3,q,7,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
906,4,n,2,92,143,capeca,NA,NA,paroxítona,F.D.,0,mazela,paroxítona,CV-CV-CV,consoante,9,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
907,3,n,2,93,109,juvali,NA,NA,oxítona,F.D.,0,javali,oxítona,CV-CV-CV,vogal,3,s,10,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
908,1,n,3,1,237,pocivol,NA,NA,oxítona,F.D.,0,possível,paroxítona,CV-CV-CVC,vogal,2,s,8,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
909,3,n,3,2,188,vacola,NA,NA,paroxítona,F.D.,0,sacola,paroxítona,CV-CV-CV,consoante,2,q,7,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
910,4,n,3,3,207,firafe,girafa_4,paroxitona_10,paroxítona,F.D.,0,farofa,paroxítona,CV-CV-CV,vogal,3,n,4,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
911,2,n,3,4,215,narafo,NA,NA,paroxítona,F.D.,0,passado,paroxítona,CV-CV-CV,consoante,8,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
912,1,n,3,5,226,tobela,NA,NA,paroxítona,F.D.,0,tabela,paroxítona,CV-CV-CV,vogal,2,s,10,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
913,4,n,3,6,239,levavol,NA,NA,oxítona,F.D.,0,lavável,paroxítona,CV-CV-CVC,vogal,2,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
914,1,n,3,7,198,pocibel,NA,NA,paroxítona,F.D.,0,possível,paroxítona,CV-CV-CVC,consoante,2,s,8,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
915,2,n,3,8,267,corutar,NA,NA,oxítona,F.D.,0,caráter,paroxítona,CV-CV-CVC,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
916,2,n,3,9,208,dufical,NA,NA,oxítona,F.D.,0,difícil,paroxítona,CV-CV-CVC,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
917,4,n,3,10,245,subata,NA,NA,paroxítona,F.D.,0,súbito,proparoxítona,CV-CV-CV,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
918,4,n,3,11,261,comalo,NA,NA,paroxítona,F.D.,0,camelô,oxítona,CV-CV-CV,vogal,2,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
919,1,n,3,12,194,parafa,$para_7,paroxitona_8,paroxítona,F.D.,0,paraná,oxítona,CV-CV-CV,consoante,3,n,0,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
920,3,n,3,13,243,taleto,talento_8,paroxitona_8,paroxítona,F.D.,0,paletó,oxítona,CV-CV-CV,consoante,1,n,2,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
921,2,n,3,14,257,nubuvo,NA,NA,paroxítona,F.D.,0,futuro,paroxítona,CV-CV-CV,consoante,7,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
922,2,n,3,15,274,camota,NA,NA,paroxítona,F.D.,0,comitê,oxítona,CV-CV-CV,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
923,4,n,3,16,259,pifitar,NA,NA,oxítona,F.D.,0,liminar,oxítona,CV-CV-CVC,consoante,8,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
924,4,n,3,17,213,sedoca,NA,NA,paroxítona,F.D.,0,sádica,proparoxítona,CV-CV-CV,vogal,2,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
925,1,n,3,18,244,cidadu,NA,NA,oxítona,F.D.,0,cidade,paroxítona,CV-CV-CV,vogal,3,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
926,4,n,3,19,195,jopater,NA,NA,oxítona,F.D.,0,júpiter,proparoxítona,CV-CV-CVC,vogal,2,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
927,3,n,3,20,266,petula,NA,NA,paroxítona,F.D.,0,pétala,proparoxítona,CV-CV-CV,vogal,3,s,9,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
928,4,n,3,21,204,tafeno,NA,NA,paroxítona,F.D.,0,jaleco,paroxítona,CV-CV-CV,consoante,9,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
929,1,n,3,22,231,zidade,NA,NA,paroxítona,F.D.,0,cidade,paroxítona,CV-CV-CV,consoante,1,s,8,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
930,4,n,3,23,221,ruvatel,NA,NA,oxítona,F.D.,0,mutável,paroxítona,CV-CV-CVC,consoante,9,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
931,3,n,3,24,205,patala,ada_paroxitono_3,proparoxitona_6,paroxítona,F.D.,0,pétala,proparoxítona,CV-CV-CV,vogal,1,n,6,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
932,2,n,3,25,273,lenipa,NA,NA,paroxítona,F.D.,0,medida,paroxítona,CV-CV-CV,consoante,5,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
933,3,n,3,26,206,jupitor,NA,NA,oxítona,F.D.,0,júpiter,proparoxítona,CV-CV-CVC,vogal,2,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
934,3,n,3,27,247,recitol,$reci_9,oxitona_7,oxítona,F.D.,0,recital,oxítona,CV-CV-CVC,vogal,2,n,4,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
935,4,n,3,28,192,fapatil,NA,NA,oxítona,F.D.,0,lavável,paroxítona,CV-CV-CVC,consoante,10,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
936,4,n,3,29,262,salanel,NA,NA,oxítona,F.D.,0,lavável,paroxítona,CV-CV-CVC,consoante,6,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
937,2,n,3,30,217,pacido,NA,NA,paroxítona,F.D.,0,passado,paroxítona,CV-CV-CV,vogal,1,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
938,2,n,3,31,229,lapaca,NA,NA,paroxítona,F.D.,0,paraná,oxítona,CV-CV-CV,consoante,9,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
939,3,n,3,32,260,pefala,aCa_paroxitona_4,proparoxitona_6,paroxítona,F.D.,0,pétala,proparoxítona,CV-CV-CV,consoante,2,n,6,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
940,3,n,3,33,269,tisoca,oca_paroxitona_5,paroxitona_10,paroxítona,F.D.,0,tísica,proparoxítona,CV-CV-CV,vogal,2,n,0,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
941,3,n,3,34,238,xabariz,NA,NA,oxítona,F.D.,0,chafariz,oxítona,CV-CV-CVC,consoante,3,s,9,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
942,2,n,3,35,241,sedafa,NA,NA,paroxítona,F.D.,0,década,proparoxítona,CV-CV-CV,consoante,7,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
943,3,n,3,36,201,juputer,NA,NA,proparoxítona,F.D.,0,júpiter,proparoxítona,CV-CV-CVC,vogal,3,s,10,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
944,1,n,3,37,224,cidide,NA,NA,paroxítona,F.D.,0,cidade,paroxítona,CV-CV-CV,vogal,3,s,8,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
945,3,n,3,38,211,tupiter,NA,NA,paroxítona,F.D.,0,júpiter,proparoxítona,CV-CV-CVC,consoante,3,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
946,3,n,3,39,242,pileto,$pVl_9,paroxitona_6,paroxítona,F.D.,0,paletó,oxítona,CV-CV-CV,vogal,3,n,4,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
947,2,n,3,40,248,cunoda,NA,NA,paroxítona,F.D.,0,canadá,oxítona,CV-CV-CV,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
948,1,n,3,41,199,perana,ana_paroxitona_5,paroxitona_10,paroxítona,F.D.,0,paraná,oxítona,CV-CV-CV,vogal,3,n,0,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
949,1,n,3,42,264,numaro,NA,NA,paroxítona,F.D.,0,número,proparoxítona,CV-CV-CV,vogal,1,s,8,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
950,2,n,3,43,210,fetara,NA,NA,paroxítona,F.D.,0,futuro,paroxítona,CV-CV-CV,vogal,2,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
951,4,n,3,44,203,nafapir,NA,NA,oxítona,F.D.,0,cadáver,paroxítona,CV-CV-CVC,consoante,10,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
952,2,n,3,45,279,revafa,NA,NA,paroxítona,F.D.,0,década,proparoxítona,CV-CV-CV,consoante,9,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
953,1,n,3,46,209,natupal,NA,NA,oxítona,F.D.,0,natural,oxítona,CV-CV-CVC,consoante,3,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
954,1,n,3,47,265,cadada,ada_paroxitono_8,paroxitona_8,paroxítona,F.D.,0,canadá,oxítona,CV-CV-CV,consoante,3,n,2,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
955,3,n,3,48,246,secodor,NA,NA,oxítona,F.D.,0,secador,oxítona,CV-CV-CVC,vogal,2,s,9,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
956,3,n,3,49,220,mutaval,NA,NA,oxítona,F.D.,0,mutável,paroxítona,CV-CV-CVC,vogal,1,s,8,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
957,2,n,3,50,233,midode,NA,NA,paroxítona,F.D.,0,medida,paroxítona,CV-CV-CV,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
958,2,n,3,51,218,mogutar,NA,NA,oxítona,F.D.,0,popular,oxítona,CV-CV-CVC,consoante,6,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
959,3,n,3,52,258,sacolo,NA,NA,paroxítona,F.D.,0,sacola,paroxítona,CV-CV-CV,vogal,2,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
960,3,n,3,53,249,davavel,avel_paroxitono_9,paroxitona_10,paroxítona,F.D.,0,lavável,paroxítona,CV-CV-CVC,consoante,1,n,5,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
961,4,n,3,54,227,cubere,NA,NA,paroxítona,F.D.,0,cabaré,oxítona,CV-CV-CV,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
962,1,n,3,55,219,comote,ote_paroxitono_8,paroxitona_10,paroxítona,F.D.,0,comitê,oxítona,CV-CV-CV,vogal,2,n,0,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
963,2,n,3,56,193,zavaba,NA,NA,paroxítona,F.D.,0,paraná,oxítona,CV-CV-CV,consoante,7,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
964,1,n,3,57,277,canadu,$can_9,paroxitona_oxitona_5,oxítona,F.D.,0,canadá,oxítona,CV-CV-CV,vogal,3,n,5,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
965,1,n,3,58,196,caputal,NA,NA,oxítona,F.D.,0,capital,oxítona,CV-CV-CVC,vogal,3,s,8,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
966,1,n,3,59,236,lumero,NA,NA,paroxítona,F.D.,0,número,proparoxítona,CV-CV-CV,consoante,1,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
967,1,n,3,60,275,caruter,NA,NA,paroxítona,F.D.,0,caráter,paroxítona,CV-CV-CVC,vogal,3,s,9,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
968,2,n,3,61,278,napaver,NA,NA,paroxítona,F.D.,0,caráter,paroxítona,CV-CV-CVC,consoante,9,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
969,4,n,3,62,271,motevel,motel_5,oxitona_6,oxítona,F.D.,0,mutável,paroxítona,CV-CV-CVC,vogal,2,n,5,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
970,1,n,3,63,225,digura,NA,NA,paroxítona,F.D.,0,figura,paroxítona,CV-CV-CV,consoante,3,s,8,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
971,2,n,3,64,212,gonitel,NA,NA,oxítona,F.D.,0,possível,paroxítona,CV-CV-CVC,consoante,8,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
972,3,n,3,65,270,relital,NA,NA,oxítona,F.D.,0,recital,oxítona,CV-CV-CVC,consoante,2,q,7,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
973,2,n,3,66,254,dafocol,NA,NA,oxítona,F.D.,0,difícil,paroxítona,CV-CV-CVC,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
974,1,n,3,67,253,diretur,NA,NA,oxítona,F.D.,0,diretor,oxítona,CV-CV-CVC,vogal,3,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
975,3,n,3,68,232,zutavel,avel_paroxitono_8,paroxitona_10,oxítona,F.D.,0,mutável,paroxítona,CV-CV-CVC,consoante,2,n,3,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
976,2,n,3,69,235,zofire,NA,NA,paroxítona,F.D.,0,comitê,oxítona,CV-CV-CV,consoante,8,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
977,2,n,3,70,240,lonutar,NA,NA,oxítona,F.D.,0,popular,oxítona,CV-CV-CVC,consoante,8,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
978,4,n,3,71,234,sobite,NA,NA,paroxítona,F.D.,0,súbito,proparoxítona,CV-CV-CV,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
979,1,n,3,72,272,camite,$caN_7,oxitona_4,paroxítona,F.D.,0,comitê,oxítona,CV-CV-CV,vogal,1,n,4,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
980,4,n,3,73,228,sebeta,NA,NA,paroxítona,F.D.,0,súbito,proparoxítona,CV-CV-CV,vogal,3,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
981,3,n,3,74,252,lavatel,NA,NA,oxítona,F.D.,0,lavável,paroxítona,CV-CV-CVC,consoante,3,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
982,3,n,3,75,202,mitavel,NA,NA,oxítona,F.D.,0,mutável,paroxítona,CV-CV-CVC,vogal,3,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
983,2,n,3,76,190,befipal,NA,NA,oxítona,F.D.,0,federal,oxítona,CV-CV-CVC,consoante,10,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
984,4,n,3,77,197,lafipa,NA,NA,paroxítona,F.D.,0,sádica,proparoxítona,CV-CV-CV,consoante,7,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
985,1,n,3,78,189,nupero,NA,NA,paroxítona,F.D.,0,número,proparoxítona,CV-CV-CV,consoante,2,s,9,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
986,3,n,3,79,250,coceca,coCega_proparoxitona_7,proparoxitona_7,paroxítona,F.D.,0,cócega,proparoxítona,CV-CV-CV,consoante,1,n,6,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
987,1,n,3,80,214,parena,eCa_paroxitona_6,paroxitona_9,paroxítona,F.D.,0,paraná,oxítona,CV-CV-CV,vogal,2,n,1,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
988,1,n,3,81,276,diredor,NA,NA,oxítona,F.D.,0,diretor,oxítona,CV-CV-CVC,consoante,1,s,10,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
989,4,n,3,82,191,barane,NA,NA,paroxítona,F.D.,0,cabaré,oxítona,CV-CV-CV,consoante,5,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
990,4,n,3,83,256,volepor,NA,NA,oxítona,F.D.,0,comedor,oxítona,CV-CV-CVC,consoante,7,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
991,1,n,3,84,251,mutodo,NA,NA,paroxítona,F.D.,0,método,proparoxítona,CV-CV-CV,vogal,3,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
992,3,n,3,85,223,rucital,NA,NA,oxítona,F.D.,0,recital,oxítona,CV-CV-CVC,vogal,3,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
993,1,n,3,86,255,difibil,NA,NA,oxítona,F.D.,0,difícil,paroxítona,CV-CV-CVC,consoante,3,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
994,1,n,3,87,263,bocivel,NA,NA,oxítona,F.D.,0,possível,paroxítona,CV-CV-CVC,consoante,1,q,7,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
995,2,n,3,88,187,coruter,NA,NA,oxítona,F.D.,0,caráter,paroxítona,CV-CV-CVC,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
996,3,n,3,89,268,sefari,NA,NA,oxítona,F.D.,0,safári,paroxítona,CV-CV-CV,vogal,2,s,9,1,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
997,2,n,3,90,216,zoricar,NA,NA,oxítona,F.D.,0,popular,oxítona,CV-CV-CVC,consoante,10,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
998,4,n,3,91,200,demefo,NA,NA,paroxítona,F.D.,0,pêssego,proparoxítona,CV-CV-CV,consoante,8,s,1,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
999,1,n,3,92,222,figuri,NA,NA,paroxítona,F.D.,0,figura,paroxítona,CV-CV-CV,vogal,3,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1000,3,n,3,93,230,javari,NA,NA,oxítona,F.D.,0,javali,oxítona,CV-CV-CV,consoante,1,s,10,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1001,2,n,4,1,357,dafical,NA,NA,oxítona,F.D.,0,difícil,paroxítona,CV-CV-CVC,vogal,2,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1002,3,n,4,2,293,xafadiz,NA,NA,oxítona,F.D.,0,chafariz,oxítona,CV-CV-CVC,consoante,1,s,9,3,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1003,2,n,4,3,345,tetola,NA,NA,paroxítona,F.D.,0,título,proparoxítona,CV-CV-CV,vogal,3,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1004,3,n,4,4,358,javoli,NA,NA,oxítona,F.D.,0,javali,oxítona,CV-CV-CV,vogal,2,s,10,2,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1005,2,n,4,5,303,nofilo,NA,NA,paroxítona,F.D.,0,código,proparoxítona,CV-CV-CV,consoante,8,s,2,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
1006,4,n,4,6,324,camoder,NA,NA,oxítona,F.D.,0,comedor,oxítona,CV-CV-CVC,vogal,3,q,3,0,20,Masculino,Superior Incompleto,Letras,"inglês, francês, espanhol",nenhum,São José do Rio Preto-SP
